AllocCPUS%|%AllocNodes%|%CPUTimeRAW%|%End%|%ExitCode%|%Flags%|%Group%|%JobID%|%JobName%|%NCPUS%|%NNodes%|%NodeList%|%NTasks%|%Partition%|%ReqCPUS%|%ReqMem%|%ReqNodes%|%Start%|%State%|%Submit%|%SystemCPU%|%TimelimitRaw%|%TotalCPU%|%UserCPU%|%
448%|%4%|%309664768%|%2024-08-24T20:52:33%|%0:0%|%SchedMain,StartRecieved%|%example%|%85584%|%GBM_MPI_smote(4,112)/n=150,depth=5,LR=0.1%|%448%|%4%|%icpnp[112,123-125]%|%%|%ct448%|%448%|%1843200M%|%0.00M%|%2024-08-16T20:52:17%|%TIMEOUT%|%2024-08-05T19:42:43%|%02:07:22%|%11520%|%3548-08:07:48%|%3548-06:00:25%|%
112%|%1%|%77416640%|%2024-08-24T20:52:37%|%0:15%|%%|%%|%85584.batch%|%batch%|%112%|%1%|%icpnp112%|%1%|%%|%112%|%%|%0.00M%|%2024-08-16T20:52:17%|%CANCELLED%|%2024-08-16T20:52:17%|%01:06:02%|%%|%881-04:19:03%|%881-03:13:01%|%
448%|%4%|%309665216%|%2024-08-24T20:52:34%|%0:0%|%%|%%|%85584.extern%|%extern%|%448%|%4%|%icpnp[112,123-125]%|%4%|%%|%448%|%%|%0.00M%|%2024-08-16T20:52:17%|%COMPLETED%|%2024-08-16T20:52:17%|%00:00:00%|%%|%00:00.002%|%00:00.002%|%
336%|%3%|%232249584%|%2024-08-24T20:52:37%|%1:0%|%%|%%|%85584.0%|%orted%|%336%|%3%|%icpnp[123-125]%|%3%|%%|%336%|%%|%0.00M%|%2024-08-16T20:52:18%|%FAILED%|%2024-08-16T20:52:18%|%01:01:20%|%%|%2667-03:48:45%|%2667-02:47:24%|%
1120%|%10%|%335084960%|%2024-08-25T15:43:21%|%0:0%|%SchedMain,StartRecieved%|%example%|%86948%|%elastic%|%1120%|%10%|%icpnp[206-210,224-228]%|%%|%ct1k%|%1120%|%4824960M%|%0.00M%|%2024-08-22T04:36:58%|%COMPLETED%|%2024-08-08T00:11:31%|%22:44:24%|%5760%|%32-09:05:47%|%31-10:21:22%|%
112%|%1%|%33508496%|%2024-08-25T15:43:21%|%0:0%|%%|%%|%86948.batch%|%batch%|%112%|%1%|%icpnp206%|%1%|%%|%112%|%%|%0.00M%|%2024-08-22T04:36:58%|%COMPLETED%|%2024-08-22T04:36:58%|%22:44:24%|%%|%32-09:05:47%|%31-10:21:22%|%
1120%|%10%|%335084960%|%2024-08-25T15:43:21%|%0:0%|%%|%%|%86948.extern%|%extern%|%1120%|%10%|%icpnp[206-210,224-228]%|%10%|%%|%1120%|%%|%0.00M%|%2024-08-22T04:36:58%|%COMPLETED%|%2024-08-22T04:36:58%|%00:00.003%|%%|%00:00.006%|%00:00.003%|%
112%|%1%|%35937440%|%2024-08-24T10:05:19%|%0:0%|%SchedMain,StartRecieved%|%example%|%87480%|%elastic%|%112%|%1%|%icpnp137%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-20T16:57:29%|%COMPLETED%|%2024-08-09T06:09:43%|%11:43:05%|%5760%|%34-04:42:59%|%33-16:59:54%|%
112%|%1%|%35937440%|%2024-08-24T10:05:19%|%0:0%|%%|%%|%87480.batch%|%batch%|%112%|%1%|%icpnp137%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T16:57:29%|%COMPLETED%|%2024-08-20T16:57:29%|%11:43:05%|%%|%34-04:42:59%|%33-16:59:54%|%
112%|%1%|%35937440%|%2024-08-24T10:05:19%|%0:0%|%%|%%|%87480.extern%|%extern%|%112%|%1%|%icpnp137%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T16:57:29%|%COMPLETED%|%2024-08-20T16:57:29%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%36811376%|%2024-08-24T13:52:27%|%0:0%|%SchedMain,StartRecieved%|%example%|%87481%|%elastic%|%112%|%1%|%icpnp153%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-20T18:34:34%|%COMPLETED%|%2024-08-09T06:09:51%|%11:42:46%|%5760%|%36-22:26:00%|%36-10:43:14%|%
112%|%1%|%36811376%|%2024-08-24T13:52:27%|%0:0%|%%|%%|%87481.batch%|%batch%|%112%|%1%|%icpnp153%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T18:34:34%|%COMPLETED%|%2024-08-20T18:34:34%|%11:42:46%|%%|%36-22:26:00%|%36-10:43:14%|%
112%|%1%|%36811376%|%2024-08-24T13:52:27%|%0:0%|%%|%%|%87481.extern%|%extern%|%112%|%1%|%icpnp153%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T18:34:34%|%COMPLETED%|%2024-08-20T18:34:34%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%36947120%|%2024-08-24T14:35:32%|%0:0%|%SchedMain,StartRecieved%|%example%|%87482%|%elastic%|%112%|%1%|%icpnp133%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-20T18:57:27%|%COMPLETED%|%2024-08-09T06:09:57%|%11:45:28%|%5760%|%36-05:07:12%|%35-17:21:44%|%
112%|%1%|%36947120%|%2024-08-24T14:35:32%|%0:0%|%%|%%|%87482.batch%|%batch%|%112%|%1%|%icpnp133%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T18:57:27%|%COMPLETED%|%2024-08-20T18:57:27%|%11:45:28%|%%|%36-05:07:12%|%35-17:21:44%|%
112%|%1%|%36947120%|%2024-08-24T14:35:32%|%0:0%|%%|%%|%87482.extern%|%extern%|%112%|%1%|%icpnp133%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T18:57:27%|%COMPLETED%|%2024-08-20T18:57:27%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
